0.047 0 0 0 5433197.85821         0
0.047 0 0 0 5433197.85821         0
0.047 0 0 0 5433197.85821         0
NaN NaN DEPTH STRIKE DIP RAKE STRIKE DIP RAKE 0.047 0 0 0 0
70.22 35.92 192.8 61.00 71.00 79.00 272.00 22.00 119.00 2.2813 0 0 0 46.253
152.96 52.47 426.3 59.00 89.00 -81.00 153.00 9.00 -176.00 2.0281 0 0 0 74.8578
128 -6.38 361.3 91.00 88.00 -49.00 184.00 41.00 -177.00 2.56611 0 0 0 114.294
129.83 -5.58 189.2 110.00 67.00 103.00 258.00 26.00 61.00 2.72159 0 0 0 114.817
-177.88 -26 212.3 109.00 13.00 166.00 213.00 87.00 77.00 1.7 0 0 0 157.264
-179.95 -31.62 248.3 205.00 19.00 133.00 341.00 76.00 77.00 2.0281 0 0 0 162.272
154.81 -6.19 384.5 151.00 38.00 -99.00 343.00 52.00 -83.00 2.88648 0 0 0 129.263
123.9 -7.48 575.5 80.00 48.00 -60.00 219.00 50.00 -119.00 2.72159 0 0 0 112.526
121.72 -4.47 610.0 233.00 57.00 -15.00 331.00 77.00 -146.00 1.60288 0 0 0 108.826
-62.98 -27.61 587.3 39.00 24.00 -44.00 170.00 73.00 -108.00 1.91224 0 0 0 99.1329
-179.63 -21.44 610.7 236.00 83.00 111.00 344.00 22.00 20.00 2.41952 0 0 0 152.477
70.79 36.75 216.7 108.00 71.00 99.00 262.00 21.00 65.00 3.65221 0 0 0 46.1463
-178.91 -17.69 549.1 16.00 35.00 165.00 118.00 81.00 56.00 2.0281 0 0 0 148.907
170.54 -12.99 631.3 66.00 76.00 -163.00 332.00 74.00 -15.00 1.91224 0 0 0 141.803
-178.78 -20.84 547.8 12.00 54.00 -76.00 169.00 39.00 -108.00 1.7 0 0 0 152.036
155.01 -4.62 520.3 95.00 18.00 -80.00 265.00 73.00 -93.00 1.91224 0 0 0 127.968
124.11 7.84 590.0 111.00 45.00 -140.00 351.00 63.00 -52.00 1.60288 0 0 0 100.71
128.46 -5.73 339.3 79.00 37.00 -13.00 179.00 82.00 -126.00 2.41952 0 0 0 114.079
126.58 7.13 167.4 10.00 48.00 157.00 116.00 73.00 45.00 1.60288 0 0 0 102.758
-77.7 -1.4 185.1 197.00 31.00 -32.00 315.00 74.00 -117.00 2.15098 0 0 0 88.4766
128.19 28.45 191.5 28.00 74.00 -79.00 173.00 19.00 -124.00 2.41952 0 0 0 86.3469
174.34 -20.27 561.9 82.00 78.00 -38.00 182.00 53.00 -165.00 1.803 0 0 0 149.875
145.95 43.89 175.9 56.00 76.00 85.00 255.00 15.00 109.00 2.41952 0 0 0 80.6233
-71.22 -9.26 636.0 165.00 48.00 -85.00 337.00 43.00 -96.00 2.41952 0 0 0 90.1372
-177.8 -18.8 438.4 137.00 29.00 170.00 236.00 85.00 61.00 2.15098 0 0 0 150.166
130.44 -5.98 131.5 103.00 19.00 18.00 357.00 84.00 108.00 2.15098 0 0 0 115.509
177.94 -37.14 167.1 159.00 20.00 82.00 348.00 70.00 93.00 1.60288 0 0 0 166.607
-177.78 -18.43 666.5 235.00 88.00 173.00 325.00 83.00 2.00 1.7 0 0 0 149.802
-179.22 -17.95 625.9 83.00 33.00 -104.00 280.00 58.00 -81.00 1.803 0 0 0 149.115
168.05 -15.47 195.7 17.00 89.00 -135.00 287.00 45.00 -1.00 2.0281 0 0 0 143.263
-178.91 -20.88 642.8 43.00 72.00 -80.00 193.00 20.00 -118.00 2.2813 0 0 0 152.053
-73.95 -8.3 155.7 17.00 72.00 -106.00 238.00 24.00 -51.00 2.0281 0 0 0 91.1849
71.27 36.59 223.1 83.00 53.00 74.00 288.00 40.00 109.00 2.2813 0 0 0 46.5534
167.31 -12.44 237.9 40.00 46.00 125.00 175.00 54.00 59.00 2.41952 0 0 0 140.184
124.58 -6.97 515.5 186.00 61.00 -57.00 313.00 42.00 -135.00 2.88648 0 0 0 112.574
170.51 -21.4 160.0 8.00 74.00 174.00 99.00 84.00 16.00 2.72159 0 0 0 149.637
166.78 -13.88 123.1 28.00 42.00 100.00 195.00 49.00 81.00 2.41952 0 0 0 141.32
-63.2 -26.1 581.6 181.00 76.00 -80.00 326.00 17.00 -124.00 1.91224 0 0 0 98.0935
169.91 -19.47 248.4 18.00 69.00 -20.00 115.00 71.00 -158.00 1.91224 0 0 0 147.641
-63.01 -27.29 585.5 31.00 27.00 -47.00 165.00 70.00 -109.00 1.803 0 0 0 98.9032
-71.43 -8.88 597.3 168.00 57.00 -90.00 349.00 33.00 -89.00 2.88648 0 0 0 89.9852
112.09 -6.09 601.7 75.00 19.00 -127.00 294.00 75.00 -78.00 2.41952 0 0 0 103.757
101.49 -0.61 177.4 72.00 32.00 142.00 195.00 71.00 64.00 2.41952 0 0 0 92.6255
-73.29 7.34 157.2 182.00 85.00 100.00 296.00 11.00 24.00 2.56611 0 0 0 79.0183
-177.21 -24.25 140.8 139.00 38.00 146.00 257.00 70.00 57.00 2.41952 0 0 0 155.641
134.86 34.98 357.7 100.00 28.00 -46.00 232.00 70.00 -110.00 1.91224 0 0 0 84.0927
-63.4 -27.4 586.5 159.00 68.00 -88.00 333.00 22.00 -95.00 2.41952 0 0 0 99.2093
-179.61 -21.12 657.5 48.00 82.00 -83.00 184.00 11.00 -133.00 3.24685 0 0 0 152.167
-86.14 11.72 153.3 143.00 75.00 95.00 305.00 16.00 72.00 3.06137 0 0 0 84.2672
123.6 -7.2 560.0 144.00 55.00 -68.00 289.00 40.00 -118.00 1.803 0 0 0 112.12
154.4 49.11 146.6 134.00 12.00 -13.00 237.00 87.00 -101.00 1.91224 0 0 0 78.3098
-179.52 -29.49 355.1 16.00 60.00 -72.00 164.00 35.00 -118.00 1.7 0 0 0 160.339
113.48 -6.42 618.4 144.00 30.00 -82.00 315.00 60.00 -95.00 1.91224 0 0 0 104.922
137.56 32.81 349.0 191.00 76.00 103.00 326.00 19.00 48.00 1.91224 0 0 0 87.1195
116.3 -6.54 566.4 117.00 53.00 -72.00 268.00 40.00 -113.00 1.7 0 0 0 106.87
129.67 29.94 163.7 38.00 79.00 85.00 244.00 12.00 115.00 2.41952 0 0 0 85.8671
118.83 -6.79 629.5 52.00 58.00 -123.00 282.00 45.00 -49.00 1.803 0 0 0 108.715
