id|Station|Latitude|Longitude|phi|dt|refID|Phase|pmax|pmin|dtmax|dtmin|remark
0|ARU|56.4|58.6|68.0|0.9|0|SKS|||||
1|COL|64.89|-147.79|278.0|1.55|0|SKS|3.0||0.1||
2|GRA1|49.69|11.22|77.0|1.05|0|SKS|4.0||0.15||
3|HIA|49.26|119.74|340.0|0.7|0|SKS|5.0||0.15||
4|LAC|34.39|-116.41|306.0|1.2|0|SKS|||||
5|LON|46.75|-121.81|84.0|1.0|0|SKS|11.0||0.2||
6|MNV|38.43|-118.15|75.0|0.9|0|SKS|||||
7|NNA|-11.99|-76.84|306.0|1.1|0|SKS|||||
8|OBN|55.1|36.36|5.0|0.5|0|SKS|||||
9|RSCP|35.59|-85.57|59.0|0.75|0|SKS|6.0||0.15||
10|RSNT|62.48|-114.59|51.0|1.2|0|SKS|4.0||0.05||
11|RSNY|44.55|-74.53|74.0|0.9|0|SKS|5.0||0.15||
12|RSON|50.86|-93.7|76.0|1.7|0|SKS|2.0||0.05||
13|RSSD|44.12|-104.04|55.0|0.65|0|SKS|5.0||0.1||
14|SLR|-25.73|28.28|81.0|1.1|0|SKS|8.0||0.1||
15|TOL|39.88|-4.05|84.0|1.0|0|SKS|4.0||0.15||
16|WMQ|43.82|87.69|39.0|1.0|0|SKS|4.0||0.15||
18|ALR|44.0|74.2|80.0|1.2|1|SKS|||||
19|ANA|42.775|77.681|80.0|1.4|1|SKS|||||
20|ARK|41.871|71.96|80.0|1.8|1|SKS|||||
21|ARL|41.9|74.2|60.0|0.6|1|SKS|||||
22|ARS|41.329|72.973|80.0|1.6|1|SKS|||||
23|BTK|40.057|70.818|80.0|1.4|1|SKS|||||
24|ERK|42.5|73.6|80.0|1.4|1|SKS|||||
25|FRU|42.8|74.6|80.0|1.0|1|SKS|||||
26|GAR|39.0008|70.3167|60.0|1.0|1|SKS|||||
27|KDS|42.1|77.2|160.0|1.0|1|SKS|||||
28|MNS|42.506|72.562|90.0|1.2|1|SKS|||||
29|NRN|41.433|76.0|140.0|0.8|1|SKS|||||
30|OSH|40.525|72.785|80.0|2.0|1|SKS|||||
31|PRZ|42.483|78.24|100.0|1.6|1|SKS|||||
32|SAM|39.672|66.99|100.0|1.2|1|SKS|||||
33|SFK|40.033|73.5|40.0|1.2|1|SKS|||||
34|TAS|41.325|69.295|80.0|0.6|1|SKS|||||
35|P1K|34.8|-112.4|59.0|0.85|2|SKS|||||
36|P2H|34.0|-112.9|68.0|1.12|2|SKS|||||
37|P36|33.7|-114.1|74.0|0.74|2|SKS|||||
38|PCC|35.75|-112.5|56.0|0.64|2|SKS|||||
39|ANMO|34.946|-106.456|41.0|1.5|3|SKS|11.0||0.5||
40|CZL|36.283|-105.91|26.0|0.9|3|SKS|18.0||0.5||
41|ELPA|31.772|-106.51|5.0|1.5|3|SKS|12.0||0.5||
42|SEVI|34.27|-106.73|41.0|1.1|3|SKS|19.0||0.5||
43|WSMR|32.34|-106.49|11.0|1.2|3|SKS|8.0||0.3||
44|WTX|34.072|-106.95|46.0|1.1|3|SKS|12.0||0.4||
45|AGD|11.53|42.82|45.0|1.2|4|SKS|||||
46|ANMO|34.9|-106.5|35.0|1.1|4|SKS|||||
47|ANTO|39.9|32.8|25.0|1.3|4|SKS|||||
48|ASH|37.9|58.3|25.0|0.8|4|SKS|||||
49|BCAO|4.4|18.5|60.0|0.6|4|SKS|||||
50|BDF|-15.7|-47.9|40.0|1.2|4|SKS|||||
51|BER|60.4|5.3|105.0|1.1|4|SKS|||||
52|BKR|41.7|43.5|90.0|1.7|4|SKS|||||
53|BOCO|4.59|-74.04|20.0|1.2|4|SKS|||||
54|BRG|50.9|14.0|100.0|1.2|4|SKS|||||
55|BRV|53.1|70.2|30.0|1.2|4|SKS|||||
56|CAY|5.0|-52.3|100.0|0.0|4|SKS|||||
57|CHTO|18.8|99.0|100.0|1.6|4|SKS|||||
58|CLL|51.3|13.0|100.0|1.0|4|SKS|||||
59|COL|64.9|-147.8|77.0|1.6|4|SKS|||||
60|CTAO|-20.1|146.3|40.0|1.0|4|SKS|||||
61|ELT|53.2|86.3|80.0|1.2|4|SKS|||||
62|FRU|42.8|74.6|80.0|1.0|4|SKS|||||
63|GAC|45.7|-75.5|85.0|0.9|4|SKS|||||
64|GAR|39.0|70.3|65.0|1.7|4|SKS|||||
65|GDH|69.3|-53.5|120.0|1.2|4|SKS|||||
66|GRF|49.5|11.2|90.0|0.7|4|SKS|||||
67|GRS|39.0|46.3|100.0|1.5|4|SKS|||||
68|ILT|67.9|-178.8|15.0|0.9|4|SKS|||||
69|INU|35.4|137.0|170.0|1.2|4|SKS|||||
70|IRK|52.2|104.3|75.0|1.1|4|SKS|||||
71|JAS|37.9|-120.4|80.0|1.5|4|SKS|||||
72|KAAO|34.5|69.0|60.0|1.8|4|SKS|||||
73|KEV|69.8|27.0|70.0|1.1|4|SKS|||||
74|KHC|49.1|13.6|100.0|1.1|4|SKS|||||
75|KHE|80.6|58.0|65.0|1.2|4|SKS|||||
76|KIP|21.4|-158.0|45.0|1.5|4|SKS|||||
77|KONO|59.6|9.6|20.0|0.8|4|SKS|||||
78|KSP|50.8|16.3|120.0|0.9|4|SKS|||||
79|LON|46.8|-121.8|90.0|0.8|4|SKS|||||
80|MAJO|36.5|138.2|130.0|0.9|4|SKS|||||
81|MGD|60.1|150.7|20.0|0.8|4|SKS|||||
82|MOX|50.7|11.6|100.0|0.7|4|SKS|||||
83|NE02|56.5|9.2|60.0|1.2|4|SKS|||||
84|NE05|52.1|5.2|70.0|0.5|4|SKS|||||
85|NE15|50.9|5.8|70.0|0.5|4|SKS|||||
86|NRI|69.4|88.1|0.0|1.8|4|SKS|||||
87|NWAO|-32.9|117.2|60.0|1.5|4|SKS|||||
88|OBN|55.2|36.6|0.0|0.6|4|SKS|||||
89|RSCP|35.6|-85.6|46.0|0.8|4|SKS|||||
90|RSNT|62.5|-114.6|48.0|1.1|4|SKS|||||
91|RSON|50.9|-93.7|80.0|1.7|4|SKS|||||
92|RSSD|44.1|-104.0|54.0|0.6|4|SKS|||||
93|SCP|40.8|-77.9|80.0|1.2|4|SKS|||||
94|SCZ|36.6|-121.4|100.0|1.3|4|SKS|||||
95|SEM|50.5|80.3|170.0|1.5|4|SKS|||||
96|SEY|62.9|152.4|110.0|1.2|4|SKS|||||
97|SHIO|25.6|91.9|120.0|1.1|4|SKS|||||
98|SLR|-25.7|-28.3|90.0|0.8|4|SKS|||||
99|SNZO|-41.3|174.7|20.0|1.8|4|SKS|||||
100|SSB|45.28|4.54|140.0|1.0|4|SKS|||||
101|STU|48.8|9.2|50.0|0.5|4|SKS|||||
102|SVE|56.8|60.6|0.0|1.4|4|SKS|||||
103|TAS|41.3|69.3|80.0|0.8|4|SKS|||||
104|TATO|25.0|121.5|60.0|1.8|4|SKS|||||
105|TAU|-42.9|147.3|80.0|0.6|4|SKS|||||
106|TIK|71.6|128.9|60.0|0.0|4|SKS|||||
107|TOL|39.9|-4.0|100.0|1.3|4|SKS|||||
108|VTS|42.6|23.3|120.0|1.2|4|SKS|||||
109|WFM|42.6|-71.5|80.0|0.8|4|SKS|||||
110|ZAK|50.3|103.3|130.0|1.2|4|SKS|||||
